F1,Fruits and Fruit juice,,,,,,,,,,
,Minerals,CA,P,MG,K,NA,FE,MFP_FE,ZN,CU,MN
,, mg, mg, mg, mg, mg, mg, mg, mg, mg, mg
129,"Apples, raw, with skin",6.0,11.0,5.0,107.0,1.0,0.1,0.0,0.0,0.0,0.0
101,"Avocado, raw, all common variety",12.0,52.0,29.0,599.0,7.0,0.6,0.0,0.6,0.2,0.1
102,"Banana, ripe",5.0,22.0,27.0,358.0,1.0,0.3,0.0,0.2,0.1,0.3
103,"Baobab, pulp",36.0,199.0,46.0,1221.0,3.0,1.9,0.0,0.3,0.7,0.3
365,"Breadfruit, raw",17.0,30.0,25.0,490.0,2.0,0.5,0.0,0.1,0.1,0.1
131,"Custard-apple (bullock's heart), raw",23.0,23.4,60.0,414.0,9.0,0.7,0.0,1.4.,2.4,0.3
133,"Date, red, dried",39.0,78.0,26.0,601.0,10.0,1.7,0.0,0.2,0.3,0.3
134,"Date, yellow",10.0,10.0,7.0,163.0,0.0,0.3,0.0,0.0,0.1,0.1
130,Durian,6.0,39.0,30.0,436.0,2.0,0.4,0.0,0.3,0.2,0.3
104,Grape,7.0,7.0,5.0,107.0,0.0,0.2,0.0,0.0,0.0,0.1
135,Grapefruit,12.0,8.0,9.0,148.0,0.0,0.06,0.0,0.07,0.05,0.01
105,"Grapes, pale green",7.0,7.0,5.0,115.0,0.0,0.2,0.0,0.0,0.0,0.1
106,"Guavas, common, raw",18.0,40.0,22.0,417.0,2.0,0.3,0.0,0.2,0.2,0.2
107,"Jackfruit, raw",34.0,36.0,37.0,303.0,3.0,0.6,0.0,0.4,0.2,0.2
109,"Lemon, raw, without peel",26.0,16.0,8.0,138.0,2.0,0.6,0.0,0.1,0.0,0.0
110,"Limes, raw",26.0,16.0,8.0,138.0,2.0,0.6,0.0,0.1,0.0,0.0
111,Mango juice,4.0,5.0,4.0,66.0,1.0,0.0,0.0,0.0,0.1,0.0
112,"Mango, ripe, fresh-EP",10.0,11.0,9.0,156.0,2.0,0.1,0.0,0.0,0.1,0.0
113,"Mango, unripe",10.0,11.0,9.0,156.0,2.0,0.1,0.0,0.0,0.1,0.0
108,"Orange juice, concentrated, unsweetened",40.0,14.0,10.0,181.0,0.0,0.1,0.0,0.1,0.1,0.0
114,"Orange, raw - AP",40.0,14.0,10.0,181.0,0.0,0.1,0.0,0.1,0.1,0.0
115,"Papaya, ripe",24.0,5.0,10.0,257.0,3.0,0.1,0.0,0.1,0.0,0.0
116,"Papaya, unripe",24.0,5.0,10.0,257.0,3.0,0.1,0.0,0.1,0.0,0.0
117,"Passion, fruit",5.0,12.0,7.0,197.0,0.0,0.1,0.0,0.1,0.1,0.1
127,Peach,6.0,20.0,9.0,190.0,0.0,0.2,0.0,0.2,0.1,0.1
118,"Pears, raw",9.0,11.0,0.2,119.0,1.0,0.2,0.0,0.1,0.1,0.0
120,Pineapple juice,7.0,7.0,14.0,113.0,1.0,0.4,0.0,0.1,0.1,1.7
,,,,,,,,,,,
F1,Fruits and Fruit juice,,,,,,,,,,
,Minerals,CA,P,MG,K,NA,FE,MFP_FE,ZN,CU,MN
,, mg, mg, mg, mg, mg, mg, mg, mg, mg, mg
119,"Pineapple, raw, all variety",7.0,7.0,14.0,113.0,1.0,0.4,0.0,0.1,0.1,1.7
121,"Plums, raw",6.0,16.0,7.0,157.0,0.0,0.2,0.0,0.0,0.1,0.1
128,Raspberry,25.0,29.0,22.0,151.0,1.0,0.7,0.0,0.4,0.1,0.7
132,"Soursop, raw",14.0,27.0,21.0,278.0,14.0,0.6,0.0,0.1,0.1,0.1
122,Tamarind,44.0,87.0,30.0,676.0,11.0,1.9,0.0,0.3,0.3,0.3
123,"Tamarind, fruit, fresh",7.0,7.0,5.0,115.0,0.0,0.2,0.0,0.0,0.0,0.1
124,"Tangerines, raw",40.0,14.0,10.0,181.0,0.0,0.1,0.0,0.1,0.1,0.0
125,"Watermelon, raw",7.0,11.0,10.0,112.0,1.0,0.2,0.0,0.1,0.0,0.0
,,,,,,,,,,,
F2,Fruit-based local dishes,,,,,,,,,,
603,Apple juice,2.0,7.0,5.0,90.0,2.0,0.5,0.0,0.2,0.0,0.2
604,Avocado juice,3.7,13.6,12.6,194.5,3.4,0.3,0.0,0.1,0.1,0.1
601,Grape juice,2.5,2.6,1.7,35.9,0.1,0.1,0.0,0.0,0.0,0.0
610,Mixed fruit jam,24.0,16.0,6.0,85.0,15.0,1.0,0.0,0.2,0.2,0.1
602,Mixed fruit juice,16.6,11.2,10.4,190.1,1.9,0.2,0.0,0.1,0.1,0.0
607,Papaya juice,16.1,3.5,6.7,172,2.1,0.1,0,0.1,0,0
126,Passion juice,2.2,5.3,2.8,79.3,0.2,0.1,0.0,0.0,0.0,0.0
606,Watermelon juice,18.0,20.2,24.7,260.4,4.5,0.4,0.0,0.2,0.1,0.1
F3,Vegetables,,,,,,,,,,
,Minerals,CA,P,MG,K,NA,FE,MFP_FE,ZN,CU,MN
,, mg, mg, mg, mg, mg, mg, mg, mg, mg, mg
401,"Amaranth, leaves, raw",96.9,50.0,55.0,380.9,6.6,2.3,0.0,0.6,0.2,0.9
424,"Bean, cluster",14.0,59.0,20.0,136.0,2.0,0.8,0.0,0.6,0.1,0.3
425,"Bean, french ",46.0,39.0,25.0,299.0,3.0,1.3,0.0,0.4,0.1,0.3
431,"Cabbage, chinese, raw",74.0,41.0,15.0,202.0,16.0,1.1,0.0,0.2,0.1,0.3
402,"Cabbage, cooked",20.0,9.0,5.0,61.0,5.0,0.1,0.0,0.1,0.0,0.1
403,"Cabbage, raw, green, white",40.0,26.0,12.0,170.0,18.0,0.5,0.0,0.2,0.0,0.2
430,"Carrot, juice",31.0,30.0,13.0,227.0,66.0,0.6,0.0,0.3,0.1,0.8
404,"Carrots, raw",33.0,35.0,12.0,320.0,69.0,0.3,0.0,0.2,0.0,0.1
409,Cassava leaf,211.0,72.0,62.0,550.0,11.0,3.1,0.0,0.4,0.2,0.1
405,"Cauliflower, cooked without salt",23.0,11.0,7.0,121.0,9.0,0.3,0.0,0.1,0.0,0.1
406,"Cauliflower, raw",22.0,44.0,15.0,303.0,30.0,0.4,0.0,0.3,0.0,0.2
427,"Chili, green",12.0,27.0,11.0,150.0,12.0,0.6,0.0,0.2,0.1,0.1
410,Cowpea leaf,49.7,72.0,62.0,248.0,5.7,0.8,0.0,1.4,0.2,0.1
407,"Cucumber, with peel, raw",16.0,21.0,13.0,147.0,2.0,0.3,0.0,0.2,0.0,0.1
408,"Egg plant, raw",9.0,25.0,14.0,230.0,2.0,0.4,0.0,0.1,0.1,0.3
411,"Green medium, leaf",74.0,41.0,15.0,202.0,16.0,1.1,0.0,0.2,0.1,0.3
429,Green pepper (capsicum),10.0,23.0,10.0,131.0,10.0,0.5,0.0,0.2,0.0,0.1
426,"Hare lettuce, (mchunga)",66.7,2.8,44.8,21.3,14.5,1.7,0.0,0.2,0.1,0.3
414,Lettuce,19.0,20.0,9.0,158.0,9.0,0.5,0.0,0.2,0.0,0.2
415,Mushroom,3.0,86.0,9.0,318.0,5.0,0.5,0.0,0.5,0.3,0.0
416,"Okra, raw",81.0,63.0,57.0,303.0,0.6,0.8,0.0,0.6,0.1,1.0
417,"Onion, raw",23.0,29.0,10.0,146.0,4.0,0.2,0.0,0.2,0.0,0.1
418,"Pea, green, fresh",27.0,117.0,39.0,271.0,3.0,1.5,0.0,1.2,0.2,0.5
433,"Pepper dried or fresh, hot",9.0,19.0,11.0,141.0,15.0,0.4,0.0,0.1,0.4,0.1
412,"Pumpkin leaf, raw",114.5,29.0,28.4,203.0,29.0,0.6,0.0,1.1,0.3,0.3
419,"Pumpkin, cooked",7.0,10.0,4.0,219.0,1.0,0.2,0.0,0.2,0.1,0.1
432,"Salad, green",94.0,17.0,352.0,22.0,1.8,0.0,0.4,0.1,0.1,0.4
420,"Spinach, cooked",136.0,56.0,87.0,466.0,70.0,3.6,0.0,0.8,0.2,0.9
428,Sweet potato leaf,59.2,41.0,44.8,315.2,10.6,0.5,0.0,0.2,0.1,0.3
434,"Swiss chard, raw",51.0,46.0,81.0,379.0,213.0,1.8,0.0,2.8,0.9,1.6
413,"Taro leaf, raw",137.0,29.0,22.0,203.0,29.0,0.8,0.0,0.1,0.3,0.3
421,"Tomato, bitter (African egg plant)",31.0,15.0,8.0,97.0,8.0,0.2,0.0,0.1,0.0,0.1
422,"Tomato, green",5.0,24.0,11.0,222.0,9.0,0.5,0.0,0.1,0.1,0.1
423,"Tomato, ripe",5.0,24.0,11.0,222.0,9.0,0.5,0.0,0.1,0.1,0.1
F4,Vegetable -based local dishes,,,,,,,,,,
,Minerals,CA,P,MG,K,NA,FE,MFP_FE,ZN,CU,MN
,, mg, mg, mg, mg, mg, mg, mg, mg, mg, mg
755,Cabbage relish with oil,14.3,16.5,7.0,89.2,130.7,0.2,0.0,0.1,0.0,0.1
754,"Cabbage, onion salad",26.7,24.2,11.1,151.8,6.0,0.3,0.0,0.2,0.0,0.1
756,Cassava leaf relish with groundnuts,159.4,108.9,67.9,531.8,270.3,2.8,0.0,0.8,0.3,0.4
757,Cassava leaf relish with coconut milk,136.2,61.1,44.0,398.1,9.7,2.3,0.0,0.4,0.2,0.3
759,Cow pea leaf relish with coconut milk ,107.8,55.8,36.8,337.4,9.0,2.0,0.0,0.4,0.2,0.3
779,Cow pea leaf relish with groundnuts,133.0,57.3,43.4,442.9,10.7,2.1,0.0,0.3,0.2,0.1
784,Egg plant relish ,9.4,28.8,13.7,247.2,28.2,0.4,0.0,0.2,0.1,0.2
763,"Green leaf, medium, relish with coconut milk",63.7,63.7,20.8,259.7,18.4,1.5,0.0,0.5,0.2,0.6
762,"Green leaf, medium relish with groundnuts",17.2,19.2,8.0,114.7,16.0,0.3,0.1,0.1,0.0,0.0
760,"Green leaf, medium, relish without oil",26.0,14.4,5.3,71.1,5.6,0.4,0.0,0.1,0.0,0.1
761,"Green leaf, medium, relish with oil",35.0,19.5,7.0,96.0,7.5,23.5,0.0,0.1,0.0,6.1
766,Green peas relish without oil,20.8,88.2,30.1,246.4,111.9,1.2,0.0,0.9,0.1,0.4
782,Green peas relish with oil,20.0,94.0,34.2,250.0,99.0,1.4,0.0,1.0,0.2,0.6
767,Green peas relish with oil and coconut milk,20.1,84.1,28.7,236.4,106.1,1.1,0.0,0.8,0.1,0.4
778,Green peas relish with coconut milk,18.0,85.7,28.0,247.9,83.8,1.3,0.0,0.9,0.2,0.7
786,Hare lettuce (mchunga),26.6,18.4,7.3,141,9.2,0.8,0.0,0.1,0.1,0.1
783,Okra relish without oil,59.4,20.7,14.4,152.5,656.1,0.6,0.0,0.1,0.1,0.2
775,Okra relish with oil,15.1,22.5,10.9,171.6,107.2,0.5,0.0,0.2,0.1,0.2
765,Okra with coconut milk,17.0,30.0,13.0,190.0,6.0,0.7,0.0,0.2,0.1,0.3
781,"Okra, fried",22.3,20.5,11.8,145.7,292.3,0.6,0.0,0.2,0.1,0.1
780,Sweet potato leaf relish with coconut milk,109.7,102.6,33.8,425.3,417.6,2.5,0.0,0.7,0.3,1.0
777,Potato leaf relish with milk ,213.7,134.5,36.3,484.0,63.4,2.2,0.0,0.5,0.1,0.5
764,Potato leaf relish with oil ,96.0,55.0,20.0,270.5,20.6,1.4,0.0,0.3,0.1,0.4
772,Potato samosa ,5.0,41.0,13.0,150.0,2.0,0.4,0.0,0.3,0.1,0.2
769,Pumpkin leaf relish without oil,67.6,20.7,13.4,152.4,131.7,0.5,0.0,0.1,0.1,0.2
768,Pumpkin leaf relish with oil,63.8,19.6,12.6,143.9,124.4,0.5,0.0,0.7,0.2,0.3
770,Spinach relish with groundnut and oil,63.2,25.5,19.3,182.2,3.7,0.9,0.0,0.1,0.1,0.1
752,Spinach relish without oil,170.9,68.5,53.8,525.6,12.0,2.6,0.0,0.3,0.1,0.1
753,Spinach relish with oil,152.9,55.2,45.7,68.7,306.4,2.2,0.0,0.3,0.1,0.1
771,Spinach relish with sesame seeds,185.4,87.0,59.6,317.4,6.5,2.7,0.0,0.8,0.4,0.3
785,Tomato relish,10.0,32.0,13.0,250.0,9.0,0.5,0.0,0.1,0.1,0.3
